a,b,corr,n,halflife_h,spread_std_bps
INTC,TSM,0.6474842419251561,499,253.99706012779333,797.2325113778012
AMD,COHR,0.646928251324999,472,280.0341139618827,1453.1348492322127
LITE,NOK,0.6466065759891666,436,515.9023194861203,923.1890178293054
AMAT,WDC,0.6464351183542598,395,238.6981782588015,922.2170234723984
GEV,MU,0.6460198741911851,203,45.44752215806914,127.75956604364652
COHR,NOK,0.6453877957834359,436,150.73194700038627,1117.3115722670173
SKHY,TSM,0.6453789455231527,202,63.20027473116528,435.68061037980834
COHR,CRDO,0.6452409737053562,395,71.94596808611944,836.46150896377
EWJ,QQQ,0.6445036648407207,499,113.23532183994752,108.77824349512912
AMD,SAMSUNG,0.6441359868331692,433,182.1786882136313,815.4497144376583
FLEX,LRCX,0.6440596261369221,251,19.323938114442296,175.2382202384182
AMD,WDC,0.6436727945351759,472,253.15200487535893,816.1778656296414
TSM,WDC,0.6436487624755335,472,300.9215314232179,772.9806849317409
FLEX,SNDK,0.643530960448246,251,119.12528784658652,376.0271663583645
AMD,DELL,0.6423724914192815,425,387.12133909344726,573.1981937719559
AAOI,TQQQ,0.6420998490129178,268,69.48492206018629,1166.288408493018
ARM,EWY,0.6420175308344354,472,136.67078342193525,480.9566944860323
ASTS,ONDS,0.6417677757992267,425,256.21436432915795,1222.863463020157
AMAT,LITE,0.6415258019002844,395,161.09560959263627,661.4855298278584
AAOI,DRAM,0.6411659559778282,395,140.04798392185816,1381.4346290586868
CIEN,MU,0.641148754923303,310,44.43027125441816,457.69982779136393
EWY,SPY,0.6403612081993091,499,292.6026538588683,610.9025157976833
ALAB,WDC,0.640166563329085,310,162.4426445937406,1507.5992354086131
INTW,IREN,0.6398723740984802,208,75.4085293379669,204.37966478511112
CRCL,MSTR,0.6393547141205208,499,119.82118176286424,833.4491881696166
ALAB,COHR,0.6392323528143806,310,166.01274535746265,794.3176455503759
GLW,SNXX,0.6386800848080799,208,146.5430033213262,1254.7067688528064
COHR,GLW,0.6385301690208705,377,158.12532147121635,786.6050263882964
COHR,TER,0.6384890399654725,251,116.42766399194241,1224.7962968866532
MRVL,SAMSUNG,0.6384262702227252,433,64.17222144460628,641.7347531507189
QQQ,SKHYNIX,0.6382200151068929,433,429.90815068224566,748.422236246157
EWJ,SAMSUNG,0.6382094720676124,433,203.87377365135558,543.8303856239183
SOXL,SPY,0.6381886383861882,499,345.37164105271984,1685.702449052573
CRWV,TQQQ,0.6381525615624146,268,88.89040427411746,711.6135926600738
COHR,INTW,0.6381005098973415,208,79.35117980273088,560.9818672164773
CRDO,EWY,0.6380341210779855,395,94.75097849614531,687.6044050408756
GLW,KLAC,0.6376864078749194,310,105.55812692958418,932.6606061832646
ALAB,BE,0.6375966216162251,310,43.34226908895462,366.3219095443354
MVLL,TXN,0.6369818190931648,251,147.45556592000278,1247.8727755233454
QQQ,WDC,0.6369342241189452,472,297.99146146327917,887.0321707334018
AAOI,INTC,0.6368880429366327,395,117.49111003378982,1054.0183144596922
QCOM,QQQ,0.6364929739799685,499,542.5252159594213,406.9523907998487
KLAC,SNDK,0.6357232667778335,310,105.97753716620272,603.8271823455692
EWY,INTC,0.6344576914032576,499,99.63751530861221,710.1581949278249
AMAT,COHR,0.6337174238083244,395,109.72471305519225,1185.9468691727807
COHR,MU,0.6336384210132215,472,123.33761040043485,1064.797845309155
IREN,TQQQ,0.6335470467325797,268,43.84637255096612,473.35580217161424
IREN,MRVL,0.6332723037093578,425,77.40250801109212,784.384605611295
ASML,GEV,0.6332072073100642,203,41.808446234251186,102.51229279383726
URNM,USAR,0.6328913949424253,389,336.0351753683484,934.8204822422919
INTW,KLAC,0.6324647865609981,208,49.50260677839527,365.8332900858575
AMAT,STXX,0.6322665845461549,377,138.33412806391698,667.5595368089188
DELL,INTW,0.6321992832982377,208,96.04760292986124,396.0402411601453
MRVL,TXN,0.6319460966565432,251,134.37876748713015,535.4144696409099
ALAB,ARM,0.6319273850182138,310,65.07357252393277,707.1951384190779
AVGO,SOXL,0.631856381908049,499,441.53775723079906,1759.9141892836442
INTW,QCOM,0.6316934188010414,208,58.02002640660419,326.1230022985024
NBIS,TQQQ,0.6316695162670654,268,54.26126657646519,890.4913126580695
ALAB,GLW,0.6314002772539322,310,64.53942003890775,488.7572167949083
ASML,INTW,0.6313793648051953,208,66.40236503700517,435.79963896618
BE,TQQQ,0.6313378385975156,268,70.44106514582465,493.1490979214823
AVGO,QQQ,0.6313108716854623,499,166.4507842417711,444.85543183125196
AMAT,FLEX,0.6311423675047015,251,19.105711387199825,202.3982814086962
SNDK,TSM,0.6311013075122626,499,417.1060837906492,1223.226460449367
AXTI,IREN,0.6309839615536375,395,132.39909204047333,1749.739443313757
LITE,STXX,0.630956082394016,377,153.95520369928346,780.0955255775823
QQQ,TXN,0.6308115437371133,251,113.76398253268816,146.9919184270393
DELL,SOXL,0.6305358658160621,425,452.70516627611045,1038.844678339325
AMAT,EWY,0.6305056513941592,395,87.48024097363127,394.77880393892
ARM,MRVL,0.6301707126306139,472,104.72503654198758,527.7057213667568
BE,FLEX,0.6300910489440742,251,52.1643753955112,277.11157344637036
DRAM,GEV,0.6296978848506245,203,41.103267860275295,214.37897143522548
QCOM,TQQQ,0.6292038824022284,268,225.8117038917093,385.06363901788217
FLEX,SNXX,0.6291668305393805,208,146.92528084942765,1085.5902890265595
GLW,TER,0.6290159740602523,251,252.7309419654492,822.6250930379016
ARM,TER,0.6278153359241022,251,236.80730900057915,746.5838111815136
CIEN,GLW,0.6276182014468936,310,164.11656229030748,720.4400015167029
CIEN,DRAM,0.6272558861548982,310,62.121483916305024,356.1678075100062
CAT,CIEN,0.6272063301726299,251,80.22198174077934,283.1021906069155
BE,NBIS,0.6271330262306813,472,59.82824416844196,880.3977231939948
ALAB,NBIS,0.626957577788155,310,128.67750708786198,861.6005278574216
MRVL,TSM,0.6269332281280444,499,282.20683887283667,908.9659767386275
AMAT,GLW,0.6268798693888638,377,121.48984319734222,742.2361287976614
SQQQ,UVXY,0.6260192936367452,268,127.26661104182912,504.5039823144375
AAOI,NOK,0.6259127494921534,395,152.92830303981538,1440.014380370742
TQQQ,TXN,0.6251410412516819,251,170.18152150380854,405.36691302858213
GEV,LITE,0.6251278674687196,203,149.65433421199535,515.5843019156921
CIEN,INTW,0.6249938589915773,208,45.24679334066994,258.3890350444651
TQQQ,WDC,0.6247154778652048,268,245.2069708209102,1436.47580521581
ALAB,KLAC,0.624510424491723,310,104.41258297770298,943.5141803032633
CRDO,SKHY,0.6243906073237907,202,191.7331699659446,277.6813638458815
AMD,FLEX,0.6242933844004985,251,44.938682372724685,389.4597936516929
DRAM,KLAC,0.6242022942135225,310,47.187778046884816,405.13629084862384
COHR,TQQQ,0.6241769587751711,268,65.63357155137865,987.3490044629444
COHR,INTC,0.6241570539962198,472,128.83263069385958,893.8530605951604
INTW,NOK,0.6240090195969789,208,38.39752883757182,536.3800523790941
AMAT,INTC,0.6237212710498334,395,108.17359470066967,538.5876741740335
ASML,CRDO,0.6236173873975875,377,116.58892178601273,936.7589680818572
KLAC,SNXX,0.6236091191741504,208,124.98503118958895,1054.5343577756162
QCOM,TXN,0.6236031373506348,251,96.54100002074738,373.9005154122081
COHR,DRAM,0.623311517930583,472,139.21412063293752,1070.374535214661
AMD,BE,0.6228348363510523,472,227.47996327146444,1166.631521395421
QQQ,USAR,0.6224589485027691,499,536.4943939502047,1044.2209522816497
ALAB,CRWV,0.6224445506132151,310,533.9173578651241,612.2606740452522
INTC,IREN,0.6221109911567679,425,151.61490109447308,1045.0147296294672
DRAM,IREN,0.6221060276029154,425,165.08746336531743,1026.52921936408
NVDA,SOXL,0.6219073793109706,499,421.4465016880908,1731.6905560820553
INTC,SAMSUNG,0.621885314599326,433,64.57332035625284,535.2078316406514
LITE,MU,0.6217027216122895,499,158.43380242630093,1190.8154354346198
CRDO,TXN,0.6217014891477152,251,220.6665255838934,671.9408525794918
CAT,VRT,0.6214349883298479,203,63.95754159281565,200.9017448239286
NOW,ZM,0.6213959505880439,383,71.12281822766741,315.715442692551
NOK,TQQQ,0.6212001724646574,268,205.46065906413125,359.0369720153691
ASTS,USAR,0.620928743052302,436,98.50335973825518,612.768258292107
AXTI,MRVL,0.6206135718924141,395,210.00330001032663,1703.7887220477785
TSM,TXN,0.620397485733596,251,68.52197202515144,146.72920016860826
GLW,TSM,0.6198553277400832,377,311.86092933778116,913.6896233873239
SKHYNIX,WDC,0.6191929256128834,433,105.53644256396893,796.2794899389893
AMAT,CAT,0.6184920082130816,251,34.32503073283088,182.32303451260103
IREN,QQQ,0.6184143222877723,425,233.45913029458916,1186.483315133171
ASML,CIEN,0.6180238497529212,310,140.12957354541626,507.24388750258254
DELL,SKHY,0.6178880630556544,202,139.78909975993724,431.95084030640635
DELL,TQQQ,0.6177873962614961,268,155.08339079414907,327.17320731992044
KLAC,TQQQ,0.6174723090779383,268,124.3460898230268,267.4191087093617
FLEX,LITE,0.6171580814756377,251,144.51619240294298,419.3126792889301
MRVL,SKHYNIX,0.6164667008230466,433,151.56382502796274,932.9505113656612
ASML,STXX,0.6163036463531963,377,122.88925268427167,676.1337158348773
ASML,TXN,0.6160661528218733,251,82.00327524954403,242.7326371142538
ARM,INTC,0.6160027646455352,472,153.78099936452574,737.5690444848667
ASML,INTC,0.61536614834803,377,320.686629990582,758.3042439311888
CRDO,IREN,0.6149294249029363,395,155.5656935328895,892.3348508693853
COHR,SNXX,0.6147374890376132,208,206.91224324167354,1816.3426661182164
KLAC,MU,0.6145400416433097,310,46.583470378182746,330.57186043871116
SKHYNIX,TSM,0.6144981762014556,433,398.3429585593193,568.1804692945641
HOOD,MSTR,0.6144144579929102,499,396.0276323245676,1893.6163711643962
ASML,AVGO,0.614316272898878,377,255.00593133224817,343.9724099980103
NBIS,SOXL,0.6142247349973927,472,181.448677419287,907.0915413092517
IWM,QQQ,0.6140475000791643,395,107.71302910472168,142.70285170762918
AMD,IREN,0.6139574492088986,425,296.892689995532,1473.1630152920045
EWT,MU,0.6139293798934068,436,109.8414834885307,404.5690836659387
EWJ,EWT,0.6135466393983875,436,78.12774874628384,233.96651603131667
EWY,TER,0.6134891147470078,251,117.06538573728669,330.3625672892176
ARM,SNDK,0.6133709020074983,472,135.2081859819256,1201.6132422753606
ALAB,TXN,0.6129167515489182,251,129.6200269626064,438.55960743551407
CRDO,STXX,0.6128705234706939,377,108.14444573850967,923.987585583756
COHR,QQQ,0.6128588763878063,472,175.4208802886444,1235.727218960977
FLEX,GLW,0.6127298681665376,251,92.44518215980149,498.92297051931735
FLEX,TQQQ,0.6126721507395549,251,43.4475924904787,205.64084909430392
AMAT,TSM,0.6125680176338294,395,77.5115577149079,321.2616520826041
DRAM,LITE,0.6125447222457164,499,237.2740184039772,1287.0424212089467
LRCX,SAMSUNG,0.6123341933286065,310,29.55650766805186,296.0094263645321
BE,SOXL,0.612229812691172,472,129.3339191744075,876.6103207991607
CAT,SOXL,0.612205393491725,251,94.92817631136734,865.21661475361
AXTI,SOXL,0.6120109005380991,395,345.31638945821436,1925.636010221299
KLAC,TSM,0.6115114864409454,310,176.56238623978012,464.7301772117204
SKHY,TER,0.6110396482737049,202,144.10487621434999,286.3304344882426
HYUNDAI,SAMSUNG,0.6110238362731373,433,140.84456590211795,493.3403931597417
ARM,TSM,0.6108694455670965,472,450.1075022467444,609.3742507336176
EWY,STXX,0.610828935525292,377,52.11956053930298,473.7111844629555
DELL,MVLL,0.6100336650920724,268,187.64044232050313,1643.064176899575
ARM,CRDO,0.6098309240941154,395,222.22110084611475,535.568681184845
GEV,GLW,0.6094192677211937,203,112.87668646838434,262.5956367997833
CIEN,DELL,0.6093395812251489,310,268.6971823616444,500.9443259529251
AVGO,CRDO,0.6093365105469185,395,169.6973434832286,853.6989754099814
AMAT,TXN,0.609054151552359,251,57.916003204027355,228.77805341297832
AAOI,SNDK,0.6088700164105328,395,177.69756455708074,1546.920850169701
ARM,WDC,0.6083072937762286,472,210.48398106219142,1065.2027576745043
CIEN,TQQQ,0.6082716560275294,268,37.88058770443388,312.33734955337087
DRAM,EWJ,0.6080070223539852,499,296.59685156684816,990.7138699743357
INTC,LITE,0.6078359616306886,499,290.3371772782088,1304.1563865902567
CIEN,NOK,0.6076709753708085,310,129.6722442676225,404.47641152124237
ONDS,QQQ,0.6076005430051663,425,192.0850802609099,1276.3114307183853
LRCX,SKHYNIX,0.6073195229373171,310,118.12979070639096,459.10453449043376
CAT,STXX,0.6068688771527087,251,67.98372104258621,421.7706593483706
SAMSUNG,WDC,0.60684030598445,433,106.04121134736386,763.2913162887868
NBIS,SNDK,0.6062284887179967,472,176.32994100019135,1108.6905610113204
AAOI,FLEX,0.6059534101587235,251,129.27687020250698,966.2720769680268
BE,LRCX,0.6058932767791666,310,53.701674509283265,737.5478261303165
AMD,EWT,0.6055856357067074,436,62.72008418896686,530.2347536419637
BMNR,CRCL,0.6055636166125304,377,308.84636084197905,553.6571269761037
ALAB,STXX,0.6055586979846368,310,212.60574512281397,1139.6628922813288
AMD,GEV,0.6053264890485365,203,54.047323825978765,163.97454915841755
AMD,SPY,0.6048548554493854,499,88.213473462393,629.9671247989795
ARM,STXX,0.6045766154377757,377,182.52595362550306,791.7215988892696
LRCX,NBIS,0.6044935807683209,310,53.307483831194176,684.0985489169096
LITE,SKHY,0.6042878601887066,202,168.2493888337174,533.0034113908318
CRWV,SOXL,0.6039665233349332,499,199.80018670539673,1264.7935436394823
DRAM,NOK,0.6039117616174615,436,157.10028302621117,521.8028389660944
IREN,SNDK,0.6038935135779709,425,200.40247167020428,1372.9416369393944
GLW,MRVL,0.6034945115892799,377,131.2520983898415,652.5013930618317
BE,SNDK,0.6031393563986375,472,113.17962349643726,1121.811123883442
DRAM,HYUNDAI,0.6026371970534167,433,209.4905237674638,626.8109311523065
EWT,MVLL,0.6025257050232659,268,144.9028641347443,1729.7761277039385
AAOI,CRDO,0.6024830121619966,395,110.73715674468366,1140.8593229879446
AAOI,GLW,0.6020684547999887,377,179.9040760378288,974.0113107718595
MU,NBIS,0.6019839175385712,472,64.65812462372593,775.1092931289688
ASML,WDC,0.6017968137426474,377,328.2055549406617,981.0412335262575
AAOI,GEV,0.6017400206049759,203,211.0083491469705,323.95934153969625
BE,STXX,0.6015492376801421,377,125.13408889192876,1011.3596528687007
ARM,IREN,0.6008689158847164,425,91.11458635465381,865.3347075991537
ARM,QCOM,0.6006495686862787,472,84.6958893016812,639.8255682084178
ASML,SKHY,0.6004377391782519,202,44.56303616188888,404.67434879930096
GEV,TSM,0.6003453578406064,203,60.92980583999784,128.19406545209605
DELL,MRVL,0.6003073919516243,425,671.0343049745165,913.5337925141548
CRCL,HOOD,0.6002997102244713,499,364.1605896816988,1658.5742855487315
KLAC,WDC,0.6002854869555588,310,132.3854188805432,1194.0416088875068
MVLL,QCOM,0.6002188307552949,268,146.55293750829847,1644.0477082152502
IWM,TQQQ,0.5997427945879613,268,148.0236184543656,687.9819340383092
IREN,TER,0.5997090545798467,251,40.02928550940955,479.1728488277943
CIEN,HPE,0.5996228004184099,310,1289.0772104974005,391.66106118029245
DRAM,NBIS,0.5995655719621864,472,51.10413019432923,737.5029736322471
EWJ,SKHYNIX,0.5994718046279123,433,505.3495985525702,722.1587889073211
FLEX,QQQ,0.5992720529094003,251,67.07276977045497,302.02523933133324
STXX,TQQQ,0.5988028982045509,268,91.573370334324,852.1886313986454
LITE,SNDK,0.5985848155896435,499,482.4399605927417,1708.1741347940565
MRVL,SNDK,0.5985766746837362,499,145.54226673750668,1037.1434535568796
AMD,SKHYNIX,0.5984158238411381,433,335.68036749050526,671.7277672762873
ALAB,SKHY,0.5983970681997655,202,76.7276272439236,594.3905459516011
EWY,MRVL,0.5983833319620647,499,175.2642210888968,723.1179910695826
CRDO,NBIS,0.5981999483290461,395,84.10730558822321,853.3828247798003
LRCX,TXN,0.5980219856012312,251,57.864116191198626,313.77391002855
AXTI,MU,0.5976012338262113,395,258.8253106711584,2369.3450797909686
AVGO,SNXX,0.5974998257908946,208,161.84914602036284,1396.7330162788037
NOK,QQQ,0.5972932527480392,436,485.56508882825375,529.5652954845865
MU,QCOM,0.5972380739791955,499,248.44718219961823,976.2047767310913
LITE,QQQ,0.5970351361770277,499,99.29106663698003,835.7252128810372
BE,CIEN,0.5968113275828673,310,65.98198624774392,709.8126341651982
EWT,SPY,0.5966547001555755,436,130.5183048838437,339.6189032133021
ARM,LRCX,0.5965886621217898,310,43.85850532836793,500.21963235566733
DELL,DRAM,0.5964521440055862,425,825.846594690079,517.8171988667141
INTC,STXX,0.5963783971670209,377,139.28193830064498,722.2017051491566
CRCL,ONDS,0.5961656298951356,425,144.23297701919472,805.1292801366889
ASML,SAMSUNG,0.5952963899272609,377,154.3779008699955,608.6540639971381
CRDO,SAMSUNG,0.5952135220918536,395,108.39043705839508,699.0414002890535
CAT,COHR,0.5951291745607046,251,174.26328983123412,1079.575354988382
GLW,TQQQ,0.5950785574309719,268,87.3189826830836,462.8508990211565
EWJ,SPY,0.5941496805069107,499,63.07788386528305,175.91599686547005
ARM,FLEX,0.5936778226935273,251,37.052851495828406,483.6458263056076
AXTI,INTW,0.5934347279603596,208,277.93211069964855,889.6283926576684
CRDO,WDC,0.5933232809961481,395,498.22505869351534,1245.8568356660799
AMD,QCOM,0.59272214971165,499,406.85459954998754,729.2410313206002
DELL,LITE,0.592644993829628,425,126.82339182693096,795.8653448521135
AAOI,DELL,0.5925112646866365,395,255.29557490210405,1571.04069291652
GEV,TER,0.5919335557816974,203,146.6716456524813,176.15180739525803
KLAC,LITE,0.5918654397880975,310,382.4101271356161,527.7064736173986
ALAB,NOK,0.5918426309156843,310,64.47590477290316,626.700134312238
INTC,SKHYNIX,0.5916861119952654,433,90.09719321278274,628.5631552254523
COHR,IREN,0.591342678940914,425,102.57199528168924,905.2336286382315
DRAM,QCOM,0.5911493931480314,499,208.46225682222712,1061.1220919901555
ASML,LITE,0.5909922685794184,377,117.72083380313131,718.3739632260666
DELL,QQQ,0.590921959487639,425,113.32695375170792,460.74216013782024
CRWV,SMCI,0.5908600120556547,310,123.07399472686583,1148.7793584032624
CAT,FLEX,0.5906213169365837,251,24.172364230789693,186.9444354045952
EWT,SKHY,0.590516529855796,202,65.55579764066239,390.1863451309449
IREN,USAR,0.5901596133496996,425,89.08812549895896,961.7585224555103
CRWV,MU,0.5901390736839978,499,177.029822323257,1226.5870871671625
AAOI,WDC,0.5901030438216676,395,193.05927800400494,1936.4970866305596
AMD,KLAC,0.5898112239561615,310,120.83304348169511,595.0582127302212
CRM,ZM,0.5894224325234865,383,68.90789286548319,260.9312529070224
SOXL,USAR,0.5891300591049571,499,125.20011677552478,1310.1274237546352
RKLB,URNM,0.5886633407752339,389,240.81708590946528,931.1964173189333
QQQ,TSLA,0.5886330458301551,499,1167.3860200723625,689.2859234160164
INTW,TXN,0.5885595563435975,208,62.75213652658846,377.2463277836609
ASML,SKHYNIX,0.5881561563629123,377,522.2302580781726,597.1505571244481
AAOI,ARM,0.5881003032087804,395,97.6041092179957,1070.0382285907515
DELL,MU,0.5878439720026106,425,367.6437725244393,471.6335076339046
COHR,SNDK,0.5877048187553461,472,227.53710432176572,1406.7631656375527
CAT,LRCX,0.5875575500689756,251,38.47337766856111,234.9293177340008
KLAC,SKHY,0.5869953293075509,202,28.42564946628425,272.82226755536817
NBIS,TER,0.5864647809479829,251,49.06310217058104,720.3263446678368
AMAT,SKHYNIX,0.5863849020252401,395,248.28964210935985,454.055348129981
HYUNDAI,SKHYNIX,0.5863269253002921,433,262.35103094998516,968.3759622031048
CIEN,NBIS,0.5860280785420167,310,43.62904013928275,669.1376328426668
AMD,NOK,0.5859229140388101,436,364.4369393305572,743.4714140049988
DRAM,SPY,0.5855972823643059,499,282.8390199265529,1132.9089960311705
ALAB,IREN,0.5852835204531514,310,143.81082617664757,581.203756097332
AAOI,RKLB,0.585166077477265,395,69.80008179651384,674.5320891520878
CIEN,WDC,0.5851234134969041,310,118.53244379821653,1150.9528008807908
AAOI,ONDS,0.5849310427879635,395,176.20592988152364,981.5939882342901
SAMSUNG,STXX,0.5848322736344189,377,65.98541378345554,469.57696507927216
CIEN,INTC,0.5848120796756374,310,73.26907200990044,324.39293353429406
CRWV,TSM,0.5845309004651403,499,267.2266015530338,1122.7456981665337
COHR,FLEX,0.5845101178558915,251,110.3754899371339,968.8947517787601
AMD,CRWV,0.5844359079005428,499,323.67268703110364,1449.2501298841362
QQQ,STXX,0.5825503026710341,377,137.07228267333474,643.8855304093559
SAMSUNG,TER,0.5824720647828585,251,100.21821579014001,428.35044922866683
CRDO,EWT,0.5824123474461685,395,77.5819467181465,751.1672829243764
ARM,SAMSUNG,0.5821681420223224,433,69.06283407785413,566.6542649180395
ARM,CRWV,0.5819848881576671,472,128.94303750316095,755.3818192784613
ALAB,AVGO,0.5815341247344762,310,339.8327102789421,1010.2495169014512
KLAC,QQQ,0.5814650665502805,310,192.9840748135748,531.459637285583
AMAT,NBIS,0.5813207797638787,395,103.47493020944019,960.593066000046
BE,DRAM,0.5810270972918107,472,56.13656838735219,815.999180273384
KLAC,TXN,0.5807038855678981,251,108.47865480104254,416.39153866086707
AMD,TXN,0.5805108362771048,251,46.582572245826356,276.5120383294948
ASML,GLW,0.5804967702276241,377,317.0679642993478,1038.1817593992564
ALAB,EWY,0.5795067167120552,310,119.03949552440699,812.3588155975767
BE,MU,0.5795056713758695,472,89.91297222171349,907.6904146311884
FLEX,MU,0.5793109430425313,251,24.405901252263725,194.5742814479067
COST,WMT,0.5792080122887973,389,144.39273044654405,182.79297250283864
DELL,INTC,0.5789273647593921,425,1075.2908281319667,773.9733088758887
CRDO,KLAC,0.5789177283675864,310,193.57021815110883,583.6087335524786
MRVL,NOK,0.5774738437283642,436,44.07372971257715,790.9352943223189
CRWV,SNDK,0.577442800689105,499,344.7002045392066,1639.9302229181192
CRWV,LRCX,0.5771303084045991,310,177.61942167309408,835.7713052428152
AVGO,LRCX,0.5771006575804059,310,283.8080100249594,512.176805817194
EWY,NOK,0.5768665931616043,436,243.16940917817226,508.4985613958625
EWY,IREN,0.5766354866823222,425,144.8523645599712,949.0321479542364
LITE,WDC,0.5766344015060987,472,464.6052609658769,1238.457466368116
ONDS,URNM,0.5756617353861017,389,155.13053788500375,884.869196664425
NOK,TER,0.575512883824598,251,344.70164097048723,481.91724514511736
FLEX,WDC,0.5754486858332868,251,124.7020098726281,1156.0636724925523
AAOI,AMAT,0.5752381611709657,395,142.8118562122111,1477.0539248367804
TER,TXN,0.5751971357291195,251,155.7455148178801,356.67152639446545
BE,CRDO,0.5749207252404057,395,117.54284688678698,703.5846229995944
CRDO,SKHYNIX,0.5746065279349565,395,538.903267522166,709.0629983000097
BE,INTC,0.5744704672091512,472,59.290785131165414,578.3340956353256
EWJ,INTW,0.574393073335795,208,72.27636100268151,355.1114855102491
SMCI,SOXL,0.5743152198463929,310,310.5863308463226,1137.3949388911797
CRDO,GEV,0.5742405696707239,203,205.93429449213252,264.7145787983305
SKHYNIX,STXX,0.5741851194546911,377,267.14425755046125,493.34820929180364
GEV,WDC,0.5741769592650181,203,133.36615095257895,103.8520132304841
ASML,EWT,0.5740771634573022,377,35.382360548407846,293.2388524429809
NOK,SNXX,0.574007182029917,208,128.48080336709856,822.7063457423505
TQQQ,TSLA,0.5739747076433932,268,528.0502750341927,326.457432622102
EWT,INTW,0.5736861007397805,208,62.26641953177777,360.55504435933875
COHR,KLAC,0.5736742405109886,310,152.79933463328007,1181.4206179712176
MRVL,WDC,0.5735412272469458,472,197.06959858326135,1090.9936195273508
AMD,NBIS,0.5731103224314565,472,171.96743064183576,1155.0174765908005
ALAB,AXTI,0.5730187717593709,310,304.95159395792945,1455.7230221539712
RKLB,SNXX,0.5726722696032345,208,183.5002951199585,1500.3812759480043
AXTI,SNXX,0.5726529271486104,208,389.6295515289176,2169.530730156163
INTC,WDC,0.5725018546245231,472,115.42436781672404,1001.5122880397687
AMD,AXTI,0.5724890849220751,395,311.66798335015307,2921.2391502415044
AAOI,STXX,0.5720784960654052,377,138.36383339825016,1613.1024198891582
CRWV,DRAM,0.5720287700760242,499,169.3484661318176,1225.1539048485208
FLEX,INTW,0.5720173789050982,208,47.358322509892695,395.8920343036452
ARM,COHR,0.572013204662194,472,105.28452309736896,700.6901997907263
ARM,ASML,0.5719942435394749,377,471.335593511115,805.6346695058729
LITE,SAMSUNG,0.5713293517307966,433,165.1907745378641,787.8852220986812
AAOI,SKHY,0.5712598370413421,202,251.03850221201824,561.761924196296
BE,LITE,0.57125304013363,472,230.16026217208295,1190.5912908181097
TQQQ,USAR,0.5710076439310845,268,72.3913730372888,626.8925890029062
NBIS,TSM,0.5704844667156482,472,120.13809331304113,925.263193572196
AVGO,TER,0.5702701837610505,251,50.81023957032689,321.55042120085704
ONDS,SPY,0.5702591916074304,425,176.70321437834994,1319.801359760297
INTW,RKLB,0.5700871814544686,208,57.46245752471218,340.8550031759169
AAOI,IREN,0.5699760588973642,395,57.89433201413638,1045.0797435901318
CIEN,KLAC,0.5696890437048533,310,93.23357779803,435.83704066496955
CIEN,SKHY,0.5696435907555714,202,62.427023491544986,395.43258443647693
INTC,KLAC,0.5694523732274918,310,53.023923877313194,568.8675358399931
AMAT,SAMSUNG,0.5692243756431039,395,91.42427227254416,532.3037284102418
AVGO,DRAM,0.5686315219247527,499,381.107524510803,1325.6870405800857
CIEN,QQQ,0.5683835169929101,310,150.9800726830182,513.2139450004559
CRWV,LITE,0.5682641157572413,499,125.80414301443064,792.6828172697317
DRAM,GLW,0.5678794536573573,377,105.39879573330046,853.0192664454206
QQQ,RKLB,0.5678046063207756,499,469.09176135737164,1169.1676212210834
FLEX,NOK,0.5675069178934055,251,99.99448980598697,263.0249044059204
GEV,MVLL,0.5672339861733028,203,89.79957555704837,425.54739527749035
DELL,EWY,0.5671619177393079,425,426.09939166099724,470.95673430625135
STXX,TSM,0.5670106713452114,377,111.93590451745342,510.7316596105918
INTC,NOK,0.5668964683006844,436,168.195323771992,621.2736992944117
GEV,KLAC,0.5668807004925024,203,72.3178829282397,116.15172191002483
MVLL,RKLB,0.5668557939141089,268,83.4502313026761,905.9689547326807
CRWV,QQQ,0.5664857704418838,499,249.02161046009758,1175.322323222924
IREN,TSM,0.5660813290192013,425,221.5631534054129,1150.160035539766
ARM,NOK,0.5660144347583127,436,106.92039288692574,638.4269099971442
BE,IREN,0.5659567878078824,425,126.37211829484895,1176.8141885791335
GLW,SNDK,0.565868101226272,377,136.88612856631647,864.2344995814153
CIEN,CRWV,0.565816866666409,310,76.09594292279583,825.562926532647
CAT,LITE,0.5655488542791878,251,206.69958398739752,516.8772571037659
LRCX,NOK,0.5651101716178779,310,80.5737236847271,406.98755105841525
AXTI,CRWV,0.5649097541014181,395,111.26984514151043,1613.3165297099556
QQQ,URNM,0.5645814752693621,389,115.0016007529583,391.09907220029356
ARM,LITE,0.5643376866112485,472,340.48084184335625,630.8284777432328
NOW,PLTR,0.5642952808829265,425,121.1558160899012,684.8187275541968
SPY,TSLA,0.5640542325426011,499,1728.977242109902,744.4305400070782
MU,NOK,0.5638087803003802,436,208.00238907818672,626.6002912919167
BE,WDC,0.5636129253820426,472,116.36635729351958,1170.3924127386638
HPE,SNXX,0.5628956717991085,208,190.78749918310072,1051.076801795639
CRDO,CRWV,0.5622243787978742,395,87.28662938054171,717.9084729570061
GLW,WDC,0.5617475009190399,377,264.9888225099539,1500.0314798484524
IREN,LITE,0.5616706538805185,425,189.54447295122938,692.2241104762887
AAOI,KLAC,0.5616565686383072,310,142.78419146709496,1431.7002324692437
ORCL,USAR,0.561413433476121,499,116.85084743626712,820.418193219871
GEV,MRVL,0.561260724434596,203,99.79554354909789,251.40542916416837
