a,b,corr,n,halflife_h,spread_std_bps
MRVL,TER,0.7739182433765186,251,221.55378203295066,638.387006437126
AMAT,MVLL,0.7713387516556834,268,170.68051163680553,1563.1301851087944
LRCX,MVLL,0.7708540715717352,268,166.4622626728818,1573.7375682425754
AMD,SNXX,0.7697194606561816,208,138.5030250194875,1205.6115108416145
MVLL,TER,0.7671421631884766,251,232.62216009920814,1332.4514171841604
DRAM,WDC,0.7666905466275741,472,126.74849635880867,694.6495502599189
LRCX,MRVL,0.7654179675847809,310,80.27891989446766,496.85473769510645
CRDO,INTW,0.7646881210417159,208,85.64710448840248,278.1912343023756
ASML,KLAC,0.7639500751245106,310,228.37302948273208,318.8826565886474
SNXX,STXX,0.7620072045457046,208,173.26139824523153,951.1464169847652
INTC,TQQQ,0.7608825187738354,268,111.40171163118777,203.70843958593105
INTW,QQQ,0.7604163579221829,208,67.58153746069323,373.9596850029012
LRCX,TER,0.759545933346905,251,215.73899561464003,385.7588765222119
INTW,TQQQ,0.7593085863650254,208,56.9179625270366,353.5973689426276
ARM,MVLL,0.7592154189477414,268,130.68631803698386,1179.845957907911
LRCX,SNXX,0.7582650365461655,208,155.51128432265594,1046.4904955875413
AMAT,TER,0.7578230118524933,251,237.32361962945387,312.35947445945914
MVLL,TSM,0.7574756115461401,268,157.80188110064202,1856.1460693643646
INTW,SNDK,0.7572264256285737,208,61.440339350106036,704.1815602306498
MU,SAMSUNG,0.7565180858879683,433,83.47081236779471,379.1472909916786
MU,QQQ,0.7562257431253934,499,134.50286354765112,947.7201458311685
DRAM,TQQQ,0.7555735144795502,268,113.22984542154533,468.4884811448827
AAOI,MVLL,0.755081421178977,268,223.57662274190767,454.9032518955292
FLEX,TER,0.7535361668974754,251,198.6675250548488,386.625736268843
CIEN,COHR,0.7534572544982967,310,103.03614650137843,1029.910419653766
INTW,SNXX,0.752941035019667,208,175.75791833152118,1323.349954717207
ALAB,SNXX,0.7525107830414659,208,173.6851577509091,1368.9111165422057
CRM,NOW,0.7522195164480723,425,59.42016997702093,404.21949723918806
MU,SKHYNIX,0.7517209478797041,433,210.74105645112755,524.7482546500918
LRCX,SNDK,0.7517167511889095,310,168.1931478733089,573.1761945390413
EWY,TQQQ,0.7515507048747276,268,79.34151640865272,379.26237039886803
AMD,DRAM,0.7514062785141142,499,317.1389612618145,870.5957520901526
INTC,SNXX,0.7507466790303935,208,162.6314331042063,1282.8257684588598
MU,WDC,0.7503555185488877,472,158.13234765216887,723.3510001420631
AMD,MU,0.7501512285867024,499,149.23580768733976,794.3575682643223
CRDO,MRVL,0.7468517575843923,395,161.0432131031724,510.9399048437924
SNDK,WDC,0.7457170255905162,472,223.71024835110578,1076.504804084631
COHR,MVLL,0.7434171711153393,268,185.1940952320046,698.9830787109104
COHR,SOXL,0.742438628419253,472,267.3108012689769,814.0258866092587
ALAB,INTW,0.7422514044307692,208,45.613180401485835,290.69166481600934
SNDK,TQQQ,0.7413293179926732,268,195.42886261840658,555.8117019372014
AAOI,AXTI,0.7411583556769408,395,110.82236834466843,1326.1428330671213
CRWV,IREN,0.7408979868839222,425,133.57764452230705,692.1569503334613
EWY,SNXX,0.7408376372449227,208,161.22599319938774,1022.5306255425177
INTW,TSM,0.7406423076242908,208,71.97561934434196,375.89833982503956
CRDO,SNXX,0.7390899903761697,208,215.1095129195173,1104.5208139133447
SOXL,WDC,0.7387763914143687,472,247.82720621680852,1329.1447365470221
EWT,EWY,0.7387338448299657,436,173.36121277081836,290.47157553787775
ALAB,AMD,0.7376713610206204,310,227.09625526079756,1256.7112732571368
AMAT,SNXX,0.7374157818150031,208,144.85395031602806,1189.426124609715
GLW,MVLL,0.7362965605641307,268,107.43234427310452,975.616079103366
CRDO,TQQQ,0.736045749107963,268,69.6576273353584,474.66790081356953
SKHY,SOXL,0.7347772604719921,202,70.42167874612144,349.92316934729655
DRAM,STXX,0.7331157579492975,377,158.02344351961176,410.715806545876
STXX,TER,0.7325956731726438,251,78.91311562933379,305.0547455553723
SNDK,TER,0.730823636298334,251,432.4206558391817,545.2746663473187
ARM,SOXL,0.7299034412620781,472,103.92791067443905,891.2250181090031
SOXL,STXX,0.729530115528701,377,352.0631438980896,1220.8459134742047
SOXL,TXN,0.729358430477509,251,111.1573504583684,905.8847351648349
MU,STXX,0.7292005467722742,377,89.16536869028432,426.117083554202
KLAC,MVLL,0.7284312615351579,268,155.92696172698902,1465.149070607804
DRAM,LRCX,0.7278818491950375,310,46.568993993219735,297.35788906532963
QQQ,SNXX,0.727610354185729,208,142.59695291929975,1261.5781694400557
LRCX,TQQQ,0.7272085877281048,268,72.94387552958763,314.4662318285663
ALAB,TSM,0.7270395790663072,310,210.15564120345172,914.7434028198646
EWY,SNDK,0.7269710646825568,499,279.9377404170996,1154.6215688771572
AAOI,MRVL,0.7264104126199866,395,107.56236693793335,802.7953500342256
ALAB,QQQ,0.7257151214079972,310,204.17560240257978,1016.0113494948239
