symbol,underlyingType,fundingTime,fundingRate,markPrice
TSLAUSDT,EQUITY,1779465600001,0.00000000,429.00929900
TSLAUSDT,EQUITY,1779494400001,0.00000000,423.72000000
TSLAUSDT,EQUITY,1779523200001,0.00000000,421.08000000
TSLAUSDT,EQUITY,1779552000001,0.00023006,426.08000000
TSLAUSDT,EQUITY,1779580800001,0.00033106,433.16000000
TSLAUSDT,EQUITY,1779609600001,0.00000000,433.39000000
TSLAUSDT,EQUITY,1779638400001,0.00000000,431.35487838
TSLAUSDT,EQUITY,1779667200001,0.00000000,431.21000000
TSLAUSDT,EQUITY,1779696000001,0.00000000,434.22883741
TSLAUSDT,EQUITY,1779724800001,0.00000000,433.77487020
TSLAUSDT,EQUITY,1779753600001,0.00000000,433.30225067
TSLAUSDT,EQUITY,1779782400001,0.00000000,427.77778323
TSLAUSDT,EQUITY,1779811200001,0.00000000,428.88000000
TSLAUSDT,EQUITY,1779840000001,0.00014057,435.66883237
TSLAUSDT,EQUITY,1779868800001,0.00033561,434.75594242
TSLAUSDT,EQUITY,1779897600001,0.00000000,440.75000000
TSLAUSDT,EQUITY,1779926400001,0.00000000,437.98456832
TSLAUSDT,EQUITY,1779955200001,0.00000000,434.26000000
TSLAUSDT,EQUITY,1779984000001,0.00000000,441.51975987
TSLAUSDT,EQUITY,1780012800001,0.00000000,440.37155985
TSLAUSDT,EQUITY,1780041600001,0.00000000,440.99000000
TSLAUSDT,EQUITY,1780070400001,0.00017546,435.04963434
TSLAUSDT,EQUITY,1780099200001,0.00003376,434.75053049
TSLAUSDT,EQUITY,1780128000001,0.00000000,436.65293236
TSLAUSDT,EQUITY,1780156800001,0.00000000,436.89018818
TSLAUSDT,EQUITY,1780185600001,0.00000000,435.23621001
TSLAUSDT,EQUITY,1780214400001,0.00002654,439.61000000
TSLAUSDT,EQUITY,1780243200001,0.00000000,436.12000000
TSLAUSDT,EQUITY,1780272000001,0.00000000,439.01152375
TSLAUSDT,EQUITY,1780300800001,0.00043522,431.62982129
TSLAUSDT,EQUITY,1780329600001,0.00026074,421.32890945
TSLAUSDT,EQUITY,1780358400001,0.00014963,414.03092406
TSLAUSDT,EQUITY,1780387200001,0.00065029,417.44336855
TSLAUSDT,EQUITY,1780416000001,0.00018452,422.07000000
