symbol,fundingTime,fundingRate,markPrice,rateType,ts,rate
SKHYNIXUSDT,1780387200001,0.00268255,1545.76179913,Regular,2026-06-02 08:00:00+00:00,0.00268255
SKHYNIXUSDT,1780416000001,0.00137620,1606.00000000,Regular,2026-06-02 16:00:00+00:00,0.0013762
SKHYNIXUSDT,1780444800001,0.00000000,1628.10954590,Regular,2026-06-03 00:00:00+00:00,0.0
SKHYNIXUSDT,1780473600001,-0.00005481,1635.92021905,Regular,2026-06-03 08:00:00+00:00,-5.481e-05
SKHYNIXUSDT,1780502400001,-0.00078658,1622.11558831,Regular,2026-06-03 16:00:00+00:00,-0.00078658
SKHYNIXUSDT,1780531200001,-0.00307661,1543.97000000,Regular,2026-06-04 00:00:00+00:00,-0.00307661
SKHYNIXUSDT,1780560000001,0.00441883,1488.93198598,Regular,2026-06-04 08:00:00+00:00,0.00441883
SKHYNIXUSDT,1780588800001,0.00181916,1518.56142955,Regular,2026-06-04 16:00:00+00:00,0.00181916
SKHYNIXUSDT,1780617600001,-0.00342019,1447.03180679,Regular,2026-06-05 00:00:00+00:00,-0.00342019
SKHYNIXUSDT,1780646400001,0.00319518,1336.52539360,Regular,2026-06-05 08:00:00+00:00,0.00319518
SKHYNIXUSDT,1780675200001,-0.00222193,1318.55373992,Regular,2026-06-05 16:00:00+00:00,-0.00222193
SKHYNIXUSDT,1780704000001,-0.00128169,1238.66000000,Regular,2026-06-06 00:00:00+00:00,-0.00128169
SKHYNIXUSDT,1780732800001,-0.00026144,1212.60000000,Regular,2026-06-06 08:00:00+00:00,-0.00026144
SKHYNIXUSDT,1780761600001,-0.00023551,1203.01000000,Regular,2026-06-06 16:00:00+00:00,-0.00023551
SKHYNIXUSDT,1780790400002,0.00015832,1213.70000000,Regular,2026-06-07 00:00:00+00:00,0.00015832
SKHYNIXUSDT,1780819200001,0.00061955,1240.00000000,Regular,2026-06-07 08:00:00+00:00,0.00061955
SKHYNIXUSDT,1780848000001,0.00144544,1289.22971392,Regular,2026-06-07 16:00:00+00:00,0.00144544
SKHYNIXUSDT,1780876800001,-0.00245651,1240.92621323,Regular,2026-06-08 00:00:00+00:00,-0.00245651
SKHYNIXUSDT,1780905600001,0.00571031,1275.56967177,Regular,2026-06-08 08:00:00+00:00,0.00571031
SKHYNIXUSDT,1780934400001,0.00161537,1341.94263067,Regular,2026-06-08 16:00:00+00:00,0.00161537
SKHYNIXUSDT,1780963200001,0.00024153,1369.52150108,Regular,2026-06-09 00:00:00+00:00,0.00024153
SKHYNIXUSDT,1780992000001,0.00000000,1452.01908764,Regular,2026-06-09 08:00:00+00:00,0.0
SKHYNIXUSDT,1781020800001,-0.00495579,1392.90000000,Regular,2026-06-09 16:00:00+00:00,-0.00495579
SKHYNIXUSDT,1781049600001,0.00025339,1385.66686566,Regular,2026-06-10 00:00:00+00:00,0.00025339
SKHYNIXUSDT,1781078400001,0.00463966,1335.70140979,Regular,2026-06-10 08:00:00+00:00,0.00463966
SKHYNIXUSDT,1781107200001,0.00017878,1366.42000000,Regular,2026-06-10 16:00:00+00:00,0.00017878
SKHYNIXUSDT,1781136000001,-0.00220722,1313.33000000,Regular,2026-06-11 00:00:00+00:00,-0.00220722
SKHYNIXUSDT,1781164800001,0.00338250,1381.68000000,Regular,2026-06-11 08:00:00+00:00,0.0033825
SKHYNIXUSDT,1781193600001,0.00005254,1410.63000000,Regular,2026-06-11 16:00:00+00:00,5.254e-05
SKHYNIXUSDT,1781222400001,0.00216676,1521.00000000,Regular,2026-06-12 00:00:00+00:00,0.00216676
SKHYNIXUSDT,1781251200001,0.00074851,1429.09301385,Regular,2026-06-12 08:00:00+00:00,0.00074851
SKHYNIXUSDT,1781280000001,0.00091069,1448.24000000,Regular,2026-06-12 16:00:00+00:00,0.00091069
SKHYNIXUSDT,1781308800001,0.00000000,1474.76429381,Regular,2026-06-13 00:00:00+00:00,0.0
SKHYNIXUSDT,1781337600001,0.00000000,1475.75000000,Regular,2026-06-13 08:00:00+00:00,0.0
SKHYNIXUSDT,1781366400001,0.00000000,1483.33000000,Regular,2026-06-13 16:00:00+00:00,0.0
SKHYNIXUSDT,1781395200001,0.00000000,1499.36284062,Regular,2026-06-14 00:00:00+00:00,0.0
SKHYNIXUSDT,1781424000001,0.00000000,1510.99036190,Regular,2026-06-14 08:00:00+00:00,0.0
SKHYNIXUSDT,1781452800001,0.00000000,1516.51000000,Regular,2026-06-14 16:00:00+00:00,0.0
SKHYNIXUSDT,1781481600001,0.00029335,1537.29094981,Regular,2026-06-15 00:00:00+00:00,0.00029335
SKHYNIXUSDT,1781510400002,0.00342426,1509.77707763,Regular,2026-06-15 08:00:00+00:00,0.00342426
SKHYNIXUSDT,1781539200001,0.00097246,1575.75000000,Regular,2026-06-15 16:00:00+00:00,0.00097246
SKHYNIXUSDT,1781568000001,-0.00014432,1582.65341427,Regular,2026-06-16 00:00:00+00:00,-0.00014432
SKHYNIXUSDT,1781596800001,0.00158824,1588.97000000,Regular,2026-06-16 08:00:00+00:00,0.00158824
SKHYNIXUSDT,1781625600001,-0.00248513,1558.34485500,Regular,2026-06-16 16:00:00+00:00,-0.00248513
SKHYNIXUSDT,1781654400001,0.00000000,1551.66707107,Regular,2026-06-17 00:00:00+00:00,0.0
SKHYNIXUSDT,1781683200001,0.00159068,1657.78642883,Regular,2026-06-17 08:00:00+00:00,0.00159068
SKHYNIXUSDT,1781712000001,0.00116178,1691.82421526,Regular,2026-06-17 16:00:00+00:00,0.00116178
SKHYNIXUSDT,1781740800001,0.00000000,1686.40000000,Regular,2026-06-18 00:00:00+00:00,0.0
SKHYNIXUSDT,1781769600001,0.00072339,1746.62000000,Regular,2026-06-18 08:00:00+00:00,0.00072339
SKHYNIXUSDT,1781798400001,0.00146713,1797.07568284,Regular,2026-06-18 16:00:00+00:00,0.00146713
SKHYNIXUSDT,1781827200001,0.00035242,1851.93223451,Regular,2026-06-19 00:00:00+00:00,0.00035242
SKHYNIXUSDT,1781856000001,0.00213117,1799.48715750,Regular,2026-06-19 08:00:00+00:00,0.00213117
SKHYNIXUSDT,1781884800001,0.00000000,1827.25000000,Regular,2026-06-19 16:00:00+00:00,0.0
SKHYNIXUSDT,1781913600001,0.00030862,1836.90603948,Regular,2026-06-20 00:00:00+00:00,0.00030862
SKHYNIXUSDT,1781942400001,0.00111189,1893.52634224,Regular,2026-06-20 08:00:00+00:00,0.00111189
SKHYNIXUSDT,1781971200001,0.00013607,1895.62000000,Regular,2026-06-20 16:00:00+00:00,0.00013607
SKHYNIXUSDT,1782000000001,0.00000000,1916.23593558,Regular,2026-06-21 00:00:00+00:00,0.0
SKHYNIXUSDT,1782028800001,0.00006600,1933.13511314,Regular,2026-06-21 08:00:00+00:00,6.6e-05
