ticker,entry_thr,exit_thr,fund_exit,t_in,t_out,days,prem_in,prem_out,basis_bps,funding_bps,gross_bps,net_lo,net_hi,open
SKHYNIX,10.0,0.0,False,2026-06-02 03:00:00+00:00,2026-06-04 00:00:00+00:00,1.9,184.2,229.6,-45.4,32.2,-13.2,-38.2,-56.2,False
SKHYNIX,10.0,0.0,False,2026-06-04 00:10:00+00:00,2026-06-05 00:00:00+00:00,1.0,244.9,166.9,78.0,62.4,140.4,115.4,97.4,False
SKHYNIX,10.0,0.0,False,2026-06-05 00:20:00+00:00,2026-06-08 00:00:00+00:00,3.0,276.4,346.8,-70.4,14.2,-56.2,-81.2,-99.2,False
SKHYNIX,10.0,0.0,False,2026-06-08 00:10:00+00:00,2026-06-09 05:35:00+00:00,1.2,245.7,-102.5,348.2,75.7,423.9,398.9,380.9,False
SKHYNIX,10.0,0.0,False,2026-06-10 00:00:00+00:00,2026-06-11 00:00:00+00:00,1.0,54.8,115.9,-61.1,50.7,-10.4,-35.4,-53.4,False
SKHYNIX,10.0,0.0,False,2026-06-11 00:05:00+00:00,2026-06-12 00:00:00+00:00,1.0,136.8,113.2,23.6,34.4,58.0,33.0,15.0,False
SKHYNIX,10.0,0.0,False,2026-06-12 00:15:00+00:00,2026-06-15 00:00:00+00:00,3.0,103.7,145.0,-41.3,16.6,-24.7,-49.7,-67.7,False
SKHYNIX,10.0,0.0,False,2026-06-15 00:15:00+00:00,2026-06-16 00:00:00+00:00,1.0,167.7,20.1,147.7,44.0,191.6,166.6,148.6,False
SKHYNIX,10.0,0.0,False,2026-06-16 00:10:00+00:00,2026-06-22 00:00:00+00:00,6.0,49.2,172.7,-123.5,81.5,-42.0,-67.0,-85.0,False
SKHYNIX,10.0,0.0,False,2026-06-22 00:25:00+00:00,2026-06-23 00:00:00+00:00,1.0,156.0,122.2,33.9,40.3,74.2,49.2,31.2,False
SKHYNIX,10.0,0.0,False,2026-06-23 00:15:00+00:00,2026-06-25 00:00:00+00:00,2.0,148.7,102.6,46.0,74.3,120.4,95.4,77.4,False
SKHYNIX,10.0,0.0,False,2026-06-25 00:10:00+00:00,2026-06-25 03:20:00+00:00,0.1,106.4,-13.4,119.8,0.0,119.8,94.8,76.8,False
SKHYNIX,10.0,0.0,False,2026-06-25 05:15:00+00:00,2026-06-29 00:00:00+00:00,3.8,63.5,105.5,-42.0,44.7,2.6,-22.4,-40.4,False
SKHYNIX,10.0,0.0,False,2026-06-29 00:20:00+00:00,2026-06-30 00:00:00+00:00,1.0,85.4,75.2,10.2,18.2,28.4,3.4,-14.6,False
SKHYNIX,10.0,0.0,False,2026-06-30 00:15:00+00:00,2026-07-01 00:00:00+00:00,1.0,66.9,76.8,-9.9,9.1,-0.8,-25.8,-43.8,False
SKHYNIX,10.0,0.0,False,2026-07-01 00:20:00+00:00,2026-07-02 00:00:00+00:00,1.0,73.9,83.7,-9.8,-13.0,-22.9,-47.9,-65.9,False
SKHYNIX,10.0,0.0,False,2026-07-02 00:25:00+00:00,2026-07-03 05:35:00+00:00,1.2,111.7,-19.7,131.5,46.0,177.5,152.5,134.5,False
SKHYNIX,10.0,0.0,False,2026-07-06 00:40:00+00:00,2026-07-07 00:00:00+00:00,1.0,28.5,89.8,-61.2,24.7,-36.5,-61.5,-79.5,False
SKHYNIX,10.0,0.0,False,2026-07-07 00:40:00+00:00,2026-07-08 00:00:00+00:00,1.0,90.9,38.1,52.9,57.4,110.2,85.2,67.2,False
