hl,thr,seg,t_sig,dev_sig,dev_ent,side,hold_min,exit,gross_bps,funding_bps,net_tt,net_mt,mae_bps,widen_bn_bps,widen_hl_bps,hold_bn_bps,hold_hl_bps
SKHX,15.0,KR_DEAD,2026-07-29 18:55:00+00:00,-16.6,-14.6,1,60,converged,2.3,5.78,-1.7,6.3,9.7,0.0,0.0,-687.3,-689.5
SKHX,15.0,KRX,2026-07-30 01:30:00+00:00,-18.0,-19.8,1,150,converged,8.1,-20.11,-21.8,-13.8,17.3,288.6,295.8,-864.5,-872.6
SKHX,15.0,KRX,2026-07-30 05:40:00+00:00,-16.2,-12.8,1,60,converged,7.4,3.48,1.1,9.1,9.7,0.0,0.0,-215.7,-223.1
SKHX,15.0,KR_DEAD,2026-07-30 11:55:00+00:00,-34.8,-17.0,1,665,converged,-3.0,5.52,-7.3,0.7,45.4,136.0,162.5,1034.9,1037.9
SKHX,15.0,KR_PRE,2026-07-30 23:55:00+00:00,-18.3,-23.0,1,45,converged,18.8,1.76,10.8,18.8,10.7,21.4,28.1,346.7,327.9
SKHX,15.0,KRX,2026-07-31 01:15:00+00:00,-15.6,-11.2,1,15,converged,9.5,0.0,-0.3,7.7,2.8,0.0,0.0,-232.2,-241.8
SKHX,15.0,KRX,2026-07-31 02:05:00+00:00,16.0,17.4,-1,60,converged,17.2,0.43,7.8,15.8,10.1,12.4,7.9,144.5,161.7
SKHX,15.0,KRX,2026-07-31 05:20:00+00:00,20.7,21.9,-1,70,converged,21.2,3.41,14.8,22.8,2.8,96.2,88.0,-188.5,-167.3
SKHX,15.0,KR_DEAD,2026-07-31 14:00:00+00:00,-30.9,-20.9,1,85,converged,22.8,-11.19,1.8,9.8,22.1,-565.2,-562.3,-67.6,-90.4
SKHX,15.0,KR_DEAD,2026-07-31 16:00:00+00:00,-17.1,-9.5,1,95,converged,2.3,0.36,-7.1,0.9,17.8,0.0,0.0,157.7,155.4
SKHX,15.0,KR_DEAD,2026-07-31 18:45:00+00:00,-16.8,-16.1,1,55,converged,12.6,-2.7,0.1,8.1,0.9,40.3,47.0,-56.2,-68.8
SKHX,15.0,WKND,2026-08-02 02:10:00+00:00,15.0,4.2,-1,15,converged,5.7,0.0,-4.1,3.9,2.9,0.0,0.0,-56.5,-50.8
SKHX,15.0,WKND,2026-08-02 08:55:00+00:00,15.5,10.6,-1,40,converged,2.3,-2.13,-9.6,-1.6,0.0,-7.4,-12.4,-4.1,-1.8
SKHX,15.0,KRX,2026-08-03 00:55:00+00:00,15.7,17.1,-1,10,converged,8.2,-0.43,-2.1,5.9,0.0,48.4,43.3,-211.6,-203.4
SKHX,15.0,KRX,2026-08-03 01:45:00+00:00,15.7,8.5,-1,50,converged,3.8,-0.31,-6.3,1.7,5.3,-30.1,-33.4,59.0,62.8
SKHX,15.0,KRX,2026-08-03 04:00:00+00:00,16.1,13.5,-1,180,converged,5.2,-2.07,-6.7,1.3,5.4,-51.3,-56.6,-115.7,-110.5
SKHX,15.0,KR_AH,2026-08-03 07:10:00+00:00,15.4,13.7,-1,70,converged,12.2,-0.08,2.3,10.3,4.6,0.0,0.0,-152.8,-140.6
SKHX,15.0,KR_DEAD,2026-08-03 12:55:00+00:00,16.2,10.7,-1,150,converged,4.4,-5.41,-10.8,-2.8,21.4,1.3,-7.6,158.8,163.2
SKHX,15.0,KRX,2026-08-04 01:05:00+00:00,17.9,2.0,-1,15,converged,-9.1,0.0,-18.9,-10.9,9.1,0.0,0.0,54.3,45.2
SKHX,15.0,KR_AH,2026-08-04 08:05:00+00:00,-19.5,-28.1,1,710,converged,7.8,-6.51,-8.5,-0.5,3.5,52.7,57.3,504.6,496.7
SKHX,15.0,KRX,2026-08-05 00:00:00+00:00,15.5,20.7,-1,805,converged,-1.2,-11.68,-22.6,-14.6,20.8,0.0,0.0,-107.5,-108.6
SKHX,15.0,KR_DEAD,2026-08-05 14:00:00+00:00,15.5,17.8,-1,150,converged,2.0,2.36,-5.4,2.6,2.0,-57.8,-64.2,-23.4,-21.4
SKHX,15.0,KR_DEAD,2026-08-05 21:35:00+00:00,18.4,20.8,-1,95,converged,25.7,3.65,19.6,27.6,0.6,-155.8,-166.1,116.7,142.5
SKHX,15.0,KRX,2026-08-06 02:10:00+00:00,-18.3,-15.4,1,150,converged,9.1,-2.87,-3.6,4.4,12.2,7.3,16.7,-136.1,-145.2
SKHX,15.0,KR_PRE,2026-08-06 23:25:00+00:00,15.4,17.9,-1,40,converged,0.3,-1.56,-11.0,-3.0,0.0,-45.3,-52.7,25.1,25.5
SKHX,15.0,KRX,2026-08-07 00:15:00+00:00,15.1,9.9,-1,135,converged,12.4,-2.53,0.1,8.1,13.8,-58.1,-55.7,-358.2,-345.8
SKHX,15.0,KR_AH,2026-08-07 08:45:00+00:00,-17.4,-10.6,1,80,converged,5.7,0.16,-4.0,4.0,6.1,-32.6,-26.9,-11.7,-17.4
SKHX,15.0,KRX,2026-08-10 02:05:00+00:00,15.2,12.5,-1,90,converged,5.4,-1.74,-6.2,1.8,0.0,61.1,62.9,-41.6,-36.3
SKHX,15.0,KRX,2026-08-10 05:00:00+00:00,19.6,13.3,-1,380,converged,0.2,-1.39,-11.0,-3.0,8.8,-135.4,-143.2,-150.0,-149.8
SKHX,15.0,KR_DEAD,2026-08-10 11:45:00+00:00,15.2,13.3,-1,195,converged,2.4,-2.63,-10.0,-2.0,3.0,-5.8,-9.2,-17.9,-15.5
SKHX,15.0,KRX,2026-08-11 00:40:00+00:00,15.9,8.3,-1,15,converged,-0.5,0.0,-10.3,-2.3,0.5,30.8,22.5,-9.9,-10.4
SKHX,15.0,KRX,2026-08-11 05:40:00+00:00,18.3,14.4,-1,35,converged,5.1,-0.3,-5.0,3.0,0.0,-36.2,-44.5,-10.1,-4.9
SKHX,15.0,KR_AH,2026-08-11 06:40:00+00:00,17.3,14.0,-1,270,converged,8.9,-2.55,-3.4,4.6,7.2,-50.1,-58.6,92.2,101.1
SKHX,15.0,KR_DEAD,2026-08-11 14:15:00+00:00,-16.2,-11.5,1,250,converged,1.1,-0.18,-8.9,-0.9,2.6,-6.9,-2.0,-14.6,-15.7
SKHX,15.0,KR_PRE,2026-08-12 23:30:00+00:00,15.1,11.0,-1,35,converged,17.9,-1.26,6.9,14.9,2.8,12.1,7.1,183.4,201.4
SKHX,15.0,KRX,2026-08-13 04:10:00+00:00,-15.3,-13.8,1,45,converged,6.4,0.0,-3.4,4.6,-0.0,25.8,30.6,4.6,-1.8
SKHX,15.0,KR_PRE,2026-08-13 23:55:00+00:00,20.9,8.3,-1,50,converged,-3.0,-0.82,-13.6,-5.6,5.4,-103.3,-112.4,-103.2,-106.2
SKHX,15.0,KR_HOL,2026-08-17 23:00:00+00:00,17.7,19.0,-1,55,converged,20.7,0.0,10.9,18.9,0.0,-194.8,-204.4,190.2,210.8
SKHX,20.0,KRX,2026-07-30 03:55:00+00:00,-37.1,-0.5,1,20,converged,1.8,3.62,-4.4,3.6,9.0,-604.6,-582.1,-41.3,-43.1
SKHX,20.0,KRX,2026-07-30 05:55:00+00:00,-21.0,-19.6,1,45,converged,14.2,3.48,7.9,15.9,2.9,-85.3,-80.6,-142.2,-156.4
SKHX,20.0,KR_DEAD,2026-07-30 11:55:00+00:00,-34.8,-17.0,1,665,converged,-3.0,5.52,-7.3,0.7,45.4,54.1,74.5,1034.9,1037.9
SKHX,20.0,KRX,2026-07-31 00:00:00+00:00,-23.0,-33.7,1,40,converged,29.9,0.0,20.1,28.1,-0.0,160.7,172.6,431.2,401.3
SKHX,20.0,KRX,2026-07-31 02:15:00+00:00,27.5,20.5,-1,50,converged,20.3,0.43,10.9,18.9,3.8,-170.2,-181.6,51.8,72.1
SKHX,20.0,KRX,2026-07-31 05:20:00+00:00,20.7,21.9,-1,70,converged,21.2,3.41,14.8,22.8,2.8,96.2,88.0,-188.5,-167.3
SKHX,20.0,KR_DEAD,2026-07-31 14:00:00+00:00,-30.9,-20.9,1,85,converged,22.8,-11.19,1.8,9.8,22.1,-565.2,-562.3,-67.6,-90.4
SKHX,20.0,KR_DEAD,2026-07-31 16:20:00+00:00,-22.1,-20.4,1,75,converged,13.3,0.36,3.9,11.9,6.8,-46.5,-38.0,118.1,104.8
SKHX,20.0,KR_DEAD,2026-08-03 14:00:00+00:00,32.1,31.3,-1,85,converged,25.9,-5.59,10.5,18.5,0.6,23.4,1.9,143.9,169.8
SKHX,20.0,KR_AH,2026-08-04 08:10:00+00:00,-28.1,-25.0,1,705,converged,4.8,-6.51,-11.5,-3.5,6.6,38.8,52.0,490.8,486.0
SKHX,20.0,KRX,2026-08-05 00:05:00+00:00,20.7,26.7,-1,800,converged,4.9,-11.68,-16.6,-8.6,14.8,-148.0,-153.2,-284.4,-279.5
SKHX,20.0,KR_DEAD,2026-08-05 21:40:00+00:00,20.8,20.5,-1,90,converged,25.4,3.65,19.3,27.3,1.0,-130.1,-139.8,94.5,119.9
SKHX,20.0,KRX,2026-08-06 02:25:00+00:00,-21.4,-20.5,1,135,converged,14.2,-2.87,1.5,9.5,7.1,2.8,12.1,-220.9,-235.1
SKHX,20.0,KRX,2026-08-07 00:30:00+00:00,22.5,19.3,-1,120,converged,21.9,-2.53,9.6,17.6,4.3,-25.1,-36.3,-250.2,-228.3
SKHX,20.0,KRX,2026-08-10 05:20:00+00:00,20.4,18.7,-1,360,converged,5.6,-1.39,-5.6,2.4,3.5,-99.9,-108.4,-128.6,-123.0
SKHX,20.0,KR_AH,2026-08-11 08:25:00+00:00,20.1,16.8,-1,165,converged,12.6,-2.65,0.1,8.1,4.4,33.0,25.9,73.6,86.2
SKHX,20.0,KR_PRE,2026-08-13 23:55:00+00:00,20.9,8.3,-1,50,converged,-3.0,-0.82,-13.6,-5.6,5.4,0.0,0.0,-103.2,-106.2
SKHX,30.0,KRX,2026-07-30 03:55:00+00:00,-37.1,-0.5,1,20,converged,1.8,3.62,-4.4,3.6,9.0,73.8,91.4,-41.3,-43.1
SKHX,30.0,KR_DEAD,2026-07-30 11:55:00+00:00,-34.8,-17.0,1,665,converged,-3.0,5.52,-7.3,0.7,45.4,21.2,37.9,1034.9,1037.9
SKHX,30.0,KRX,2026-07-31 00:05:00+00:00,-33.7,-19.6,1,35,converged,16.4,0.0,6.6,14.6,1.3,54.8,71.2,237.9,221.5
SKHX,30.0,KR_DEAD,2026-07-31 14:00:00+00:00,-30.9,-20.9,1,85,converged,22.8,-11.19,1.8,9.8,22.1,-565.2,-562.3,-67.6,-90.4
SKHX,30.0,KR_DEAD,2026-08-03 14:00:00+00:00,32.1,31.3,-1,85,converged,25.9,-5.59,10.5,18.5,0.6,-121.6,-137.0,143.9,169.8
SKHX,30.0,KR_DEAD,2026-08-04 12:45:00+00:00,-30.3,-29.0,1,430,converged,10.1,5.46,5.8,13.8,-0.0,355.3,370.5,344.7,334.6
SKHX,30.0,KRX,2026-08-05 00:25:00+00:00,31.6,21.4,-1,780,converged,-0.5,-11.68,-21.9,-13.9,20.1,102.7,86.6,-311.9,-312.3
SMSN,15.0,KRX,2026-07-30 00:50:00+00:00,-17.8,-3.6,1,20,converged,-3.3,2.63,-10.4,-2.4,3.5,0.0,0.0,-81.4,-78.2
SMSN,15.0,KRX,2026-07-30 01:50:00+00:00,-16.2,-14.1,1,130,converged,-8.9,-13.47,-32.1,-24.1,15.8,90.3,98.1,-584.1,-575.3
SMSN,15.0,KRX,2026-07-30 04:20:00+00:00,-15.3,-18.8,1,465,converged,5.6,2.51,-1.7,6.3,12.9,68.7,61.2,360.2,354.6
