type,key,t_in,t_out,days,notional,prem_in,prem_out,dir,basis_bps,fund_bps,cost_bps,net_bps,pnl_usd,open_at_end
A,BOT@BN,2026-07-22 14:30:00+00:00,2026-07-22 19:45:00+00:00,0.22,71717.9268628875,15.9,-5.5,1,21.3,0.0,16.0,5.3,38.0,
A,GOOGL@HL,2026-07-23 15:20:00+00:00,2026-07-23 16:25:00+00:00,0.05,1500000.0,31.4,-8.3,1,39.8,0.5,23.64437387563753,16.7,2501.0,
A,MINIMAX@BN,2026-07-22 02:50:00+00:00,2026-07-24 06:20:00+00:00,2.15,152799.914718777,60.6,-9.3,1,69.9,22.1,36.0,56.0,856.0,
A,BOT@BN,2026-07-23 14:30:00+00:00,2026-07-24 15:55:00+00:00,1.06,68463.276612066,77.4,-0.2,1,77.6,13.9,16.0,75.5,517.0,
A,NBIS@HL,2026-07-24 15:05:00+00:00,2026-07-24 16:25:00+00:00,0.06,1262265.1022600345,139.4,-6.8,1,146.2,0.1,81.00477637794198,65.3,8247.0,
A,INTC@HL,2026-07-24 15:05:00+00:00,2026-07-24 16:50:00+00:00,0.07,1500000.0,62.0,1.6,1,60.4,0.1,46.996484863328604,13.5,2023.0,
A,LITE@HL,2026-07-24 15:05:00+00:00,2026-07-24 19:55:00+00:00,0.2,1500000.0,122.3,-11.8,1,134.1,0.3,62.96454341828236,71.4,10710.0,
A,BOT@BN,2026-07-24 18:00:00+00:00,2026-07-27 16:05:00+00:00,2.92,88127.175,36.3,-2.0,1,38.3,-10.7,16.0,11.6,102.0,
A,BOT@BN,2026-07-27 18:10:00+00:00,2026-07-27 18:55:00+00:00,0.03,81835.154374785,33.2,-2.0,1,35.2,0.0,16.0,19.2,157.0,
A,BOT@BN,2026-07-28 17:25:00+00:00,2026-07-28 18:10:00+00:00,0.03,79371.35145,29.3,-3.9,1,33.2,0.0,16.0,17.2,137.0,
A,AXTI@BN,2026-07-23 17:35:00+00:00,2026-07-28 19:25:00+00:00,5.08,523554.04225325544,23.5,-2.4,1,25.9,-1.2,16.0,8.7,455.0,
A,TENCENT@BN,2026-07-23 07:25:00+00:00,2026-07-29 06:25:00+00:00,5.96,88278.01183254,59.9,-1.5,1,61.4,34.5,36.0,60.0,529.0,
A,SAMSUNG@HL,2026-07-29 03:05:00+00:00,2026-07-30 01:55:00+00:00,0.95,1500000.0,125.2,-44.1,1,169.3,25.8,75.79081177936126,119.3,17894.0,
