ts,rate
2026-06-02 08:00:00.001000+00:00,0.00364107
2026-06-02 16:00:00.001000+00:00,0.00206018
2026-06-03 00:00:00.001000+00:00,0.0
2026-06-03 08:00:00.001000+00:00,0.00072531
2026-06-03 16:00:00.001000+00:00,-0.00234343
2026-06-04 00:00:00.001000+00:00,-0.00137169
2026-06-04 08:00:00.001000+00:00,0.00312882
2026-06-04 16:00:00.001000+00:00,0.00010497
2026-06-05 00:00:00.001000+00:00,-0.00179321
2026-06-05 08:00:00.001000+00:00,0.00232354
2026-06-05 16:00:00.001000+00:00,-0.00186607
2026-06-06 00:00:00.001000+00:00,-0.00094572
2026-06-06 08:00:00.001000+00:00,-0.00025352
2026-06-06 16:00:00.001000+00:00,0.0
2026-06-07 00:00:00.002000+00:00,0.0
2026-06-07 08:00:00.001000+00:00,0.0
2026-06-07 16:00:00.001000+00:00,0.0
2026-06-08 00:00:00.001000+00:00,-0.00131457
2026-06-08 08:00:00.001000+00:00,0.00447157
2026-06-08 16:00:00.001000+00:00,0.00205173
2026-06-09 00:00:00.001000+00:00,-6.3e-06
2026-06-09 08:00:00.001000+00:00,0.00129881
2026-06-09 16:00:00.001000+00:00,-0.00424068
2026-06-10 00:00:00.001000+00:00,0.0
2026-06-10 08:00:00.001000+00:00,0.0
2026-06-10 16:00:00.001000+00:00,0.00046153
2026-06-11 00:00:00.001000+00:00,-0.00119814
2026-06-11 08:00:00.001000+00:00,0.00132888
2026-06-11 16:00:00.001000+00:00,0.00130079
2026-06-12 00:00:00.001000+00:00,0.00115563
2026-06-12 08:00:00.001000+00:00,0.00053101
2026-06-12 16:00:00.001000+00:00,0.00048693
2026-06-13 00:00:00.001000+00:00,0.0
2026-06-13 08:00:00.001000+00:00,0.0
2026-06-13 16:00:00.001000+00:00,0.0
2026-06-14 00:00:00.001000+00:00,0.0
2026-06-14 08:00:00.001000+00:00,0.0
2026-06-14 16:00:00.001000+00:00,0.0
2026-06-15 00:00:00.001000+00:00,0.00170781
2026-06-15 08:00:00.002000+00:00,0.00103561
2026-06-15 16:00:00.001000+00:00,0.00035805
2026-06-16 00:00:00.001000+00:00,0.0
2026-06-16 08:00:00.001000+00:00,0.00037132
2026-06-16 16:00:00.001000+00:00,-0.0023282
2026-06-17 00:00:00.001000+00:00,0.0
2026-06-17 08:00:00.001000+00:00,0.00068105
2026-06-17 16:00:00.001000+00:00,0.0
2026-06-18 00:00:00.001000+00:00,0.0
2026-06-18 08:00:00.001000+00:00,0.00091967
2026-06-18 16:00:00.001000+00:00,0.00146038
2026-06-19 00:00:00.001000+00:00,0.0
2026-06-19 08:00:00.001000+00:00,0.00219782
2026-06-19 16:00:00.001000+00:00,0.0
2026-06-20 00:00:00.001000+00:00,2.56e-06
2026-06-20 08:00:00.001000+00:00,4.029e-05
2026-06-20 16:00:00.001000+00:00,0.0
2026-06-21 00:00:00.001000+00:00,0.0
2026-06-21 08:00:00.001000+00:00,0.0
2026-06-21 16:00:00.001000+00:00,0.0
2026-06-22 00:00:00.001000+00:00,-0.003444
2026-06-22 08:00:00.001000+00:00,0.00445896
2026-06-22 16:00:00.001000+00:00,0.0
2026-06-23 00:00:00.001000+00:00,-0.00115086
2026-06-23 08:00:00.002000+00:00,0.00300087
2026-06-23 16:00:00.001000+00:00,5.808e-05
2026-06-24 00:00:00.001000+00:00,-0.00036983
2026-06-24 08:00:00.001000+00:00,0.00166306
2026-06-24 16:00:00.001000+00:00,-0.00027332
2026-06-25 00:00:00.002000+00:00,0.00453477
2026-06-25 08:00:00.001000+00:00,0.00024914
2026-06-25 16:00:00.001000+00:00,-0.0016269
2026-06-26 00:00:00.001000+00:00,0.00112089
2026-06-26 08:00:00.002000+00:00,0.00268391
2026-06-26 16:00:00.001000+00:00,0.00071005
2026-06-27 00:00:00.001000+00:00,0.0
2026-06-27 08:00:00.001000+00:00,0.0
2026-06-27 16:00:00.001000+00:00,0.0
2026-06-28 00:00:00.002000+00:00,-4.311e-05
2026-06-28 08:00:00.002000+00:00,0.0
2026-06-28 16:00:00.001000+00:00,0.00017491
2026-06-28 19:00:00.002000+00:00,0.0
2026-06-28 20:00:00.001000+00:00,-6.92e-06
2026-06-28 21:00:00.002000+00:00,6.438e-05
2026-06-28 22:00:00.002000+00:00,-3.285e-05
2026-06-28 23:00:00.002000+00:00,-0.0010511
2026-06-28 23:00:00.003000+00:00,0.00012848
2026-06-29 00:00:00.001000+00:00,-0.00177056
2026-06-29 08:00:00.001000+00:00,0.00242949
2026-06-29 16:00:00.001000+00:00,-0.00082695
2026-06-30 00:00:00+00:00,0.00030116
2026-06-30 08:00:00+00:00,0.0
2026-06-30 16:00:00.001000+00:00,0.00021686
2026-07-01 00:00:00+00:00,0.0
2026-07-01 08:00:00.001000+00:00,0.00158344
