ts,rate
2026-07-10 16:00:00+00:00,-0.0019403
2026-07-11 00:00:00+00:00,0.0
2026-07-11 08:00:00+00:00,0.0
2026-07-11 16:00:00+00:00,0.0
2026-07-12 00:00:00+00:00,0.0
2026-07-12 08:00:00+00:00,0.0
2026-07-12 16:00:00+00:00,0.0
2026-07-13 00:00:00+00:00,-0.00094746
2026-07-13 08:00:00+00:00,-0.00267159
2026-07-13 16:00:00+00:00,0.00010081
2026-07-14 00:00:00+00:00,0.0
2026-07-14 08:00:00+00:00,-0.00066134
2026-07-14 16:00:00+00:00,0.0
2026-07-15 00:00:00+00:00,-0.00076018
2026-07-15 08:00:00+00:00,0.0
2026-07-15 16:00:00+00:00,0.0
2026-07-16 00:00:00+00:00,-0.00060896
2026-07-16 08:00:00+00:00,4.29e-05
2026-07-16 16:00:00+00:00,0.0
2026-07-17 00:00:00+00:00,0.0
2026-07-17 08:00:00+00:00,0.00038219
2026-07-17 16:00:00+00:00,0.0
2026-07-18 00:00:00+00:00,0.0
2026-07-18 08:00:00+00:00,0.0
2026-07-18 16:00:00+00:00,-0.00020799
2026-07-19 00:00:00+00:00,0.0
2026-07-19 08:00:00+00:00,0.00023694
2026-07-19 16:00:00+00:00,-2.473e-05
2026-07-20 00:00:00+00:00,0.0
2026-07-20 08:00:00+00:00,0.0
2026-07-20 16:00:00+00:00,0.0
2026-07-21 00:00:00+00:00,0.00011055
2026-07-21 08:00:00+00:00,4.696e-05
2026-07-21 16:00:00+00:00,0.0
2026-07-22 00:00:00+00:00,-0.00060861
2026-07-22 08:00:00+00:00,0.0
2026-07-22 16:00:00+00:00,-0.00036955
2026-07-23 00:00:00+00:00,0.0
2026-07-23 08:00:00+00:00,0.0
2026-07-23 16:00:00+00:00,0.0
2026-07-24 00:00:00+00:00,0.0
2026-07-24 08:00:00+00:00,0.0
2026-07-24 16:00:00+00:00,0.0
2026-07-25 00:00:00+00:00,-0.00037558
2026-07-25 08:00:00+00:00,0.00026896
2026-07-25 16:00:00+00:00,0.0
2026-07-26 00:00:00+00:00,0.0
2026-07-26 08:00:00+00:00,0.0
2026-07-26 16:00:00+00:00,0.0
2026-07-27 00:00:00+00:00,0.00078466
2026-07-27 08:00:00+00:00,0.0
2026-07-27 16:00:00+00:00,0.0
2026-07-28 00:00:00+00:00,-8.515e-05
2026-07-28 08:00:00+00:00,0.00017832
2026-07-28 16:00:00+00:00,0.00058503
2026-07-29 00:00:00+00:00,0.00051289
2026-07-29 08:00:00+00:00,3.832e-05
2026-07-29 16:00:00+00:00,0.0
2026-07-30 00:00:00+00:00,0.0
2026-07-30 08:00:00+00:00,0.00037533
2026-07-30 16:00:00+00:00,-0.00013463
2026-07-31 00:00:00+00:00,-0.00079745
2026-07-31 08:00:00+00:00,0.0
2026-07-31 16:00:00+00:00,0.0
2026-08-01 00:00:00+00:00,0.0
2026-08-01 08:00:00+00:00,0.00020806
