ts,rate
2026-07-10 16:00:00+00:00,0.0
2026-07-11 00:00:00+00:00,0.0
2026-07-11 08:00:00+00:00,0.0
2026-07-11 16:00:00+00:00,0.0
2026-07-12 00:00:00+00:00,-2.293e-05
2026-07-12 08:00:00+00:00,0.0
2026-07-12 16:00:00+00:00,0.0
2026-07-13 00:00:00+00:00,-0.00226626
2026-07-13 08:00:00+00:00,0.005
2026-07-13 16:00:00+00:00,0.0
2026-07-14 00:00:00+00:00,-0.00108201
2026-07-14 08:00:00+00:00,0.005
2026-07-14 16:00:00+00:00,0.00192162
2026-07-14 20:00:00+00:00,0.00133532
2026-07-15 00:00:00+00:00,0.00171193
2026-07-15 04:00:00+00:00,-0.00023997
2026-07-15 08:00:00+00:00,-0.00100191
2026-07-15 12:00:00+00:00,0.0
2026-07-15 16:00:00+00:00,-0.00196477
2026-07-15 20:00:00+00:00,0.00064739
2026-07-16 00:00:00+00:00,-0.00129085
2026-07-16 04:00:00+00:00,0.00168949
2026-07-16 08:00:00+00:00,0.00034557
2026-07-16 12:00:00+00:00,-9.577e-05
2026-07-16 16:00:00+00:00,-0.00042886
2026-07-16 20:00:00+00:00,-0.0009732
2026-07-17 00:00:00+00:00,-0.00092102
2026-07-17 04:00:00+00:00,6.403e-05
2026-07-17 08:00:00+00:00,-0.00143406
2026-07-17 12:00:00+00:00,0.00041051
2026-07-17 16:00:00+00:00,0.00150611
2026-07-17 20:00:00+00:00,-0.00094887
2026-07-18 00:00:00+00:00,0.0
2026-07-18 04:00:00+00:00,0.0
2026-07-18 08:00:00+00:00,0.0
2026-07-18 12:00:00+00:00,0.0
2026-07-18 16:00:00+00:00,-4.143e-05
2026-07-18 20:00:00+00:00,0.0
2026-07-19 00:00:00+00:00,0.0
2026-07-19 04:00:00+00:00,0.0
2026-07-19 08:00:00+00:00,8.177e-05
2026-07-19 12:00:00+00:00,-0.00014976
2026-07-19 16:00:00+00:00,0.0
2026-07-19 20:00:00+00:00,0.00020692
2026-07-20 00:00:00+00:00,-0.00031583
2026-07-20 04:00:00+00:00,0.00166537
2026-07-20 08:00:00+00:00,0.00052817
2026-07-20 12:00:00+00:00,0.00060173
2026-07-20 16:00:00+00:00,-0.00016124
2026-07-20 20:00:00+00:00,-0.00055024
2026-07-21 00:00:00+00:00,0.00015674
2026-07-21 04:00:00+00:00,0.00119891
2026-07-21 08:00:00+00:00,0.00022498
2026-07-21 12:00:00+00:00,0.0
2026-07-21 16:00:00+00:00,0.00068707
2026-07-21 20:00:00+00:00,0.00010694
2026-07-22 00:00:00+00:00,0.0
2026-07-22 04:00:00+00:00,0.00034064
2026-07-22 08:00:00+00:00,0.00068087
2026-07-22 12:00:00+00:00,-0.00023337
2026-07-22 16:00:00+00:00,0.0007125
2026-07-22 20:00:00+00:00,-5.632e-05
2026-07-23 00:00:00+00:00,0.0
2026-07-23 04:00:00+00:00,0.00063342
2026-07-23 08:00:00+00:00,6.207e-05
2026-07-23 12:00:00+00:00,-0.00080868
2026-07-23 16:00:00+00:00,-7.333e-05
2026-07-23 20:00:00+00:00,-0.00015507
2026-07-24 00:00:00+00:00,0.0
2026-07-24 04:00:00+00:00,0.00137911
2026-07-24 08:00:00+00:00,0.00134578
2026-07-24 12:00:00+00:00,0.0
2026-07-24 16:00:00+00:00,-0.00044942
2026-07-24 20:00:00+00:00,-0.00028398
2026-07-25 00:00:00+00:00,-5.092e-05
2026-07-25 04:00:00+00:00,0.0004741
2026-07-25 08:00:00+00:00,0.0
2026-07-25 12:00:00+00:00,0.0
2026-07-25 16:00:00+00:00,0.0
2026-07-25 20:00:00+00:00,0.00011139
2026-07-26 00:00:00+00:00,0.0
2026-07-26 04:00:00+00:00,1.648e-05
2026-07-26 08:00:00+00:00,-1.979e-05
2026-07-26 12:00:00+00:00,0.0
2026-07-26 16:00:00+00:00,0.0
2026-07-26 20:00:00+00:00,0.0
2026-07-27 00:00:00+00:00,0.00082569
2026-07-27 04:00:00+00:00,0.00183254
2026-07-27 08:00:00+00:00,0.00025493
2026-07-27 12:00:00+00:00,-0.00023261
2026-07-27 16:00:00+00:00,-0.00246424
2026-07-27 20:00:00+00:00,8.584e-05
2026-07-28 00:00:00+00:00,0.0
2026-07-28 04:00:00+00:00,0.00201005
2026-07-28 08:00:00+00:00,0.00085144
2026-07-28 12:00:00+00:00,0.0
2026-07-28 16:00:00+00:00,0.0007237
2026-07-28 20:00:00+00:00,0.0
2026-07-29 00:00:00+00:00,0.0
2026-07-29 04:00:00+00:00,0.00384462
2026-07-29 08:00:00+00:00,0.00239035
2026-07-29 12:00:00+00:00,0.0
2026-07-29 16:00:00+00:00,-0.00081102
2026-07-29 20:00:00+00:00,-0.00058825
2026-07-30 00:00:00+00:00,0.0
2026-07-30 04:00:00+00:00,0.00296498
2026-07-30 08:00:00+00:00,0.00022029
2026-07-30 12:00:00+00:00,0.00190902
2026-07-30 16:00:00+00:00,0.00322737
2026-07-30 20:00:00+00:00,0.00046113
2026-07-31 00:00:00+00:00,0.00094104
2026-07-31 04:00:00+00:00,0.0
2026-07-31 08:00:00+00:00,-0.00014385
2026-07-31 12:00:00+00:00,0.0
2026-07-31 16:00:00+00:00,-0.00194169
2026-07-31 20:00:00+00:00,-0.00036155
2026-08-01 00:00:00+00:00,0.0
2026-08-01 04:00:00+00:00,0.0
2026-08-01 08:00:00+00:00,0.0
